j0; j1; cos(j0); cos(j1); sin(j0); sin(j1); ee_x; ee_y; ee_qw; ee_qz
 1.863;  0.142; -0.288;  0.990;  0.958;  0.141; -0.075;  0.196;  0.538;  0.843
 2.041;  0.044; -0.453;  0.999;  0.892;  0.044; -0.099;  0.185;  0.504;  0.864
 2.240; -0.032; -0.620;  1.000;  0.784; -0.032; -0.127;  0.167;  0.450;  0.893
 2.484; -0.094; -0.792;  0.996;  0.611; -0.094; -0.160;  0.136;  0.367;  0.930
 2.724; -0.150; -0.914;  0.989;  0.405; -0.150; -0.184;  0.100;  0.280;  0.960
 2.903; -0.214; -0.972;  0.977;  0.237; -0.213; -0.196;  0.072;  0.225;  0.974
 3.074; -0.306; -0.998;  0.953;  0.067; -0.302; -0.202;  0.047;  0.186;  0.983
 3.209; -0.412; -0.998;  0.916; -0.067; -0.400; -0.204;  0.029;  0.168;  0.986
 3.205; -0.529; -0.998;  0.863; -0.063; -0.505; -0.198;  0.043;  0.230;  0.973
 3.179; -0.614; -0.999;  0.818; -0.037; -0.576; -0.192;  0.056;  0.284;  0.959
 3.128; -0.651; -1.000;  0.795;  0.014; -0.606; -0.187;  0.069;  0.326;  0.945
 3.038; -0.677; -0.995;  0.779;  0.103; -0.626; -0.178;  0.088;  0.380;  0.925
 2.975; -0.685; -0.986;  0.775;  0.165; -0.632; -0.171;  0.099;  0.413;  0.911
 2.965; -0.636; -0.985;  0.804;  0.175; -0.594; -0.174;  0.097;  0.395;  0.919
 2.988; -0.527; -0.988;  0.864;  0.153; -0.503; -0.184;  0.084;  0.333;  0.943
 2.997; -0.381; -0.989;  0.928;  0.145; -0.371; -0.194;  0.070;  0.260;  0.966
 2.982; -0.222; -0.987;  0.976;  0.159; -0.220; -0.201;  0.057;  0.190;  0.982
 2.961; -0.052; -0.984;  0.999;  0.180; -0.052; -0.205;  0.043;  0.116;  0.993
 2.911;  0.087; -0.973;  0.996;  0.229;  0.087; -0.206;  0.039;  0.072;  0.997
 2.846;  0.182; -0.957;  0.984;  0.291;  0.181; -0.205;  0.042;  0.057;  0.998
 2.792;  0.266; -0.940;  0.965;  0.342;  0.263; -0.204;  0.043;  0.042;  0.999
 2.774;  0.338; -0.933;  0.944;  0.359;  0.331; -0.203;  0.039;  0.015;  1.000
 2.782;  0.428; -0.936;  0.910;  0.352;  0.415; -0.203;  0.028; -0.034;  0.999
 2.784;  0.576; -0.937;  0.839;  0.350;  0.544; -0.201;  0.011; -0.109;  0.994
 2.801;  0.723; -0.943;  0.750;  0.334;  0.662; -0.196; -0.008; -0.190;  0.982
 2.860;  0.854; -0.961;  0.657;  0.278;  0.754; -0.189; -0.032; -0.282;  0.959
 2.922;  1.011; -0.976;  0.531;  0.218;  0.848; -0.175; -0.057; -0.386;  0.923
 3.001;  1.163; -0.990;  0.396;  0.140;  0.918; -0.156; -0.080; -0.489;  0.872
 3.104;  1.292; -0.999;  0.276;  0.037;  0.961; -0.134; -0.101; -0.587;  0.810
 3.165;  1.398; -1.000;  0.172; -0.024;  0.985; -0.116; -0.111; -0.654;  0.757
 3.165;  1.455; -1.000;  0.116; -0.024;  0.993; -0.110; -0.112; -0.674;  0.739
 3.146;  1.499; -1.000;  0.072; -0.004;  0.997; -0.107; -0.110; -0.683;  0.731
 3.140;  1.603; -1.000; -0.032;  0.002;  0.999; -0.097; -0.110; -0.718;  0.697
 3.154;  1.718; -1.000; -0.147; -0.012;  0.989; -0.082; -0.110; -0.762;  0.648
 3.144;  1.796; -1.000; -0.223; -0.002;  0.975; -0.075; -0.107; -0.783;  0.622
 3.130;  1.829; -1.000; -0.256;  0.012;  0.967; -0.073; -0.106; -0.789;  0.615
 3.147;  1.839; -1.000; -0.265; -0.005;  0.964; -0.071; -0.106; -0.794;  0.608
 3.133;  1.826; -1.000; -0.252;  0.009;  0.968; -0.073; -0.106; -0.789;  0.615
 3.079;  1.775; -0.998; -0.203;  0.062;  0.979; -0.084; -0.103; -0.755;  0.655
 3.054;  1.693; -0.996; -0.122;  0.088;  0.992; -0.096; -0.101; -0.719;  0.695
 3.042;  1.570; -0.995;  0.001;  0.099;  1.000; -0.111; -0.100; -0.671;  0.742
 3.034;  1.457; -0.994;  0.113;  0.107;  0.994; -0.124; -0.097; -0.625;  0.781
 3.081;  1.346; -0.998;  0.223;  0.061;  0.975; -0.131; -0.099; -0.599;  0.801
 3.168;  1.180; -1.000;  0.381; -0.026;  0.925; -0.141; -0.103; -0.559;  0.829
 3.176;  0.959; -0.999;  0.575; -0.035;  0.818; -0.160; -0.096; -0.477;  0.879
 3.163;  0.714; -1.000;  0.756; -0.022;  0.654; -0.182; -0.076; -0.360;  0.933
 3.153;  0.444; -1.000;  0.903; -0.012;  0.430; -0.199; -0.050; -0.226;  0.974
 3.138;  0.148; -1.000;  0.989;  0.004;  0.147; -0.209; -0.015; -0.072;  0.997
 3.118; -0.099; -1.000;  0.995;  0.024; -0.099; -0.209;  0.016;  0.061;  0.998
 3.124; -0.283; -1.000;  0.960;  0.018; -0.279; -0.205;  0.034;  0.150;  0.989
 3.157; -0.411; -1.000;  0.917; -0.015; -0.400; -0.202;  0.041;  0.196;  0.981
 3.157; -0.501; -1.000;  0.877; -0.016; -0.480; -0.197;  0.050;  0.240;  0.971
 3.150; -0.558; -1.000;  0.848; -0.009; -0.530; -0.194;  0.057;  0.271;  0.962
 3.130; -0.562; -1.000;  0.846;  0.012; -0.533; -0.192;  0.061;  0.283;  0.959
 3.076; -0.553; -0.998;  0.851;  0.065; -0.526; -0.189;  0.070;  0.304;  0.953
 2.996; -0.540; -0.989;  0.858;  0.145; -0.514; -0.184;  0.084;  0.336;  0.942
 2.940; -0.526; -0.980;  0.865;  0.201; -0.502; -0.180;  0.093;  0.356;  0.934
 2.891; -0.523; -0.969;  0.866;  0.248; -0.500; -0.176;  0.102;  0.378;  0.926
 2.809; -0.535; -0.945;  0.860;  0.327; -0.510; -0.166;  0.117;  0.420;  0.907
 2.692; -0.543; -0.901;  0.856;  0.435; -0.517; -0.150;  0.136;  0.476;  0.879
 2.557; -0.510; -0.834;  0.873;  0.552; -0.488; -0.134;  0.153;  0.520;  0.854
 2.405; -0.437; -0.741;  0.906;  0.672; -0.424; -0.117;  0.169;  0.554;  0.833
 2.257; -0.317; -0.634;  0.950;  0.774; -0.312; -0.103;  0.180;  0.565;  0.825
 2.167; -0.175; -0.562;  0.985;  0.827; -0.174; -0.101;  0.183;  0.544;  0.839
 2.140; -0.073; -0.539;  0.997;  0.842; -0.073; -0.106;  0.181;  0.512;  0.859
 2.183; -0.047; -0.574;  0.999;  0.819; -0.047; -0.116;  0.175;  0.482;  0.876
 2.264; -0.064; -0.639;  0.998;  0.769; -0.064; -0.129;  0.166;  0.454;  0.891
 2.383; -0.055; -0.726;  0.999;  0.688; -0.055; -0.148;  0.149;  0.396;  0.918
 2.553; -0.041; -0.832;  0.999;  0.555; -0.041; -0.172;  0.120;  0.309;  0.951
 2.776; -0.035; -0.934;  0.999;  0.358; -0.035; -0.195;  0.079;  0.199;  0.980
 3.042; -0.001; -0.995;  1.000;  0.099; -0.001; -0.209;  0.021;  0.050;  0.999
 3.249;  0.071; -0.994;  0.998; -0.107;  0.070; -0.207; -0.032; -0.094;  0.996
 3.242;  0.136; -0.995;  0.991; -0.100;  0.135; -0.206; -0.036; -0.119;  0.993
 3.201;  0.184; -0.998;  0.983; -0.059;  0.183; -0.207; -0.033; -0.122;  0.993
 3.161;  0.248; -1.000;  0.969; -0.019;  0.245; -0.206; -0.031; -0.133;  0.991
 3.084;  0.347; -0.998;  0.940;  0.057;  0.340; -0.205; -0.026; -0.144;  0.990
 2.950;  0.510; -0.982;  0.873;  0.190;  0.488; -0.203; -0.015; -0.159;  0.987
 2.786;  0.672; -0.938;  0.782;  0.348;  0.623; -0.198;  0.000; -0.158;  0.987
 2.638;  0.765; -0.876;  0.721;  0.482;  0.693; -0.194;  0.020; -0.131;  0.991
 2.494;  0.851; -0.797;  0.659;  0.603;  0.752; -0.187;  0.038; -0.101;  0.995
 2.337;  0.953; -0.693;  0.579;  0.720;  0.815; -0.178;  0.056; -0.074;  0.997
 2.190;  1.048; -0.581;  0.499;  0.814;  0.867; -0.168;  0.071; -0.048;  0.999
 2.086;  1.156; -0.493;  0.403;  0.870;  0.915; -0.159;  0.076; -0.050;  0.999
 2.005;  1.258; -0.421;  0.307;  0.907;  0.952; -0.151;  0.077; -0.061;  0.998
 1.913;  1.318; -0.336;  0.250;  0.942;  0.968; -0.143;  0.084; -0.045;  0.999
 1.822;  1.361; -0.248;  0.209;  0.969;  0.978; -0.135;  0.092; -0.020;  1.000
 1.712;  1.406; -0.140;  0.164;  0.990;  0.986; -0.124;  0.102;  0.012;  1.000
 1.559;  1.436;  0.012;  0.134;  1.000;  0.991; -0.108;  0.116;  0.073;  0.997
 1.399;  1.458;  0.171;  0.113;  0.985;  0.994; -0.088;  0.130;  0.142;  0.990
 1.263;  1.498;  0.303;  0.073;  0.953;  0.997; -0.072;  0.136;  0.189;  0.982
 1.146;  1.585;  0.412; -0.014;  0.911;  1.000; -0.060;  0.135;  0.204;  0.979
 1.015;  1.710;  0.527; -0.138;  0.850;  0.990; -0.048;  0.129;  0.207;  0.978
 0.892;  1.848;  0.628; -0.273;  0.778;  0.962; -0.038;  0.121;  0.200;  0.980
 0.769;  1.948;  0.719; -0.369;  0.696;  0.930; -0.028;  0.115;  0.210;  0.978
 0.639;  2.026;  0.803; -0.440;  0.596;  0.898; -0.017;  0.110;  0.236;  0.972
 0.553;  2.108;  0.851; -0.512;  0.525;  0.859; -0.012;  0.103;  0.238;  0.971
 0.461;  2.182;  0.896; -0.573;  0.445;  0.819; -0.007;  0.097;  0.247;  0.969
 0.354;  2.283;  0.938; -0.654;  0.347;  0.757; -0.003;  0.088;  0.249;  0.968
 0.285;  2.427;  0.960; -0.755;  0.281;  0.656; -0.004;  0.074;  0.214;  0.977
 0.262;  2.574;  0.966; -0.843;  0.259;  0.538; -0.008;  0.059;  0.152;  0.988
 0.226;  2.678;  0.975; -0.895;  0.224;  0.447; -0.009;  0.048;  0.118;  0.993
 0.181;  2.726;  0.984; -0.915;  0.180;  0.403; -0.009;  0.044;  0.117;  0.993
 0.135;  2.722;  0.991; -0.913;  0.135;  0.407; -0.006;  0.044;  0.142;  0.990
 0.067;  2.723;  0.998; -0.914;  0.067;  0.406; -0.004;  0.045;  0.175;  0.985
 0.014;  2.765;  1.000; -0.930;  0.014;  0.368; -0.003;  0.040;  0.180;  0.984
-0.020;  2.775;  1.000; -0.934; -0.020;  0.359; -0.002;  0.039;  0.192;  0.981
-0.034;  2.790;  0.999; -0.939; -0.034;  0.344; -0.002;  0.038;  0.192;  0.981
-0.018;  2.805;  1.000; -0.944; -0.018;  0.330; -0.003;  0.036;  0.176;  0.984
-0.019;  2.789;  1.000; -0.938; -0.019;  0.346; -0.002;  0.038;  0.185;  0.983
-0.058;  2.802;  0.998; -0.943; -0.058;  0.333; -0.002;  0.037;  0.197;  0.980
-0.059;  2.814;  0.998; -0.947; -0.059;  0.322; -0.002;  0.036;  0.192;  0.981
-0.058;  2.794;  0.998; -0.940; -0.058;  0.341; -0.001;  0.038;  0.201;  0.979
-0.059;  2.732;  0.998; -0.917; -0.058;  0.398;  0.002;  0.044;  0.232;  0.973
-0.038;  2.668;  0.999; -0.890; -0.038;  0.456;  0.004;  0.050;  0.253;  0.967
-0.026;  2.670;  1.000; -0.891; -0.026;  0.454;  0.003;  0.050;  0.246;  0.969
 0.028;  2.693;  1.000; -0.901;  0.028;  0.434; -0.000;  0.048;  0.209;  0.978
 0.088;  2.733;  0.996; -0.918;  0.088;  0.397; -0.005;  0.043;  0.159;  0.987
 0.115;  2.777;  0.993; -0.934;  0.115;  0.357; -0.007;  0.039;  0.125;  0.992
 0.109;  2.812;  0.994; -0.946;  0.109;  0.323; -0.008;  0.035;  0.110;  0.994
 0.111;  2.894;  0.994; -0.969;  0.111;  0.246; -0.010;  0.026;  0.068;  0.998
 0.152;  2.961;  0.988; -0.984;  0.152;  0.179; -0.011;  0.018;  0.014;  1.000
 0.193;  2.978;  0.981; -0.987;  0.192;  0.163; -0.012;  0.016; -0.015;  1.000
 0.266;  2.941;  0.965; -0.980;  0.263;  0.200; -0.013;  0.019; -0.033;  0.999
 0.377;  2.856;  0.930; -0.959;  0.368;  0.282; -0.017;  0.027; -0.045;  0.999
 0.506;  2.790;  0.875; -0.939;  0.484;  0.344; -0.021;  0.032; -0.077;  0.997
 0.622;  2.791;  0.813; -0.939;  0.583;  0.343; -0.025;  0.029; -0.135;  0.991
 0.695;  2.815;  0.768; -0.947;  0.640;  0.321; -0.026;  0.024; -0.183;  0.983
 0.728;  2.849;  0.746; -0.958;  0.665;  0.288; -0.025;  0.020; -0.216;  0.976
 0.773;  2.915;  0.716; -0.975;  0.698;  0.224; -0.022;  0.013; -0.270;  0.963
 0.861;  3.000;  0.652; -0.990;  0.758;  0.141; -0.018;  0.003; -0.352;  0.936
 0.966;  3.030;  0.569; -0.994;  0.822;  0.112; -0.015; -0.001; -0.415;  0.910
 1.108;  3.022;  0.447; -0.993;  0.895;  0.119; -0.016; -0.002; -0.475;  0.880
 1.256;  3.013;  0.309; -0.992;  0.951;  0.128; -0.016; -0.004; -0.535;  0.845
 1.406;  3.007;  0.165; -0.991;  0.986;  0.134; -0.016; -0.006; -0.593;  0.805
 1.590;  2.991; -0.019; -0.989;  1.000;  0.150; -0.016; -0.009; -0.659;  0.752
 1.762;  2.947; -0.190; -0.981;  0.982;  0.194; -0.019; -0.012; -0.706;  0.708
 1.935;  2.922; -0.356; -0.976;  0.934;  0.218; -0.020; -0.015; -0.756;  0.654
 2.111;  2.961; -0.514; -0.984;  0.857;  0.180; -0.013; -0.017; -0.822;  0.569
 2.261;  3.003; -0.637; -0.990;  0.771;  0.138; -0.006; -0.017; -0.873;  0.488
 2.383;  3.010; -0.726; -0.991;  0.688;  0.131; -0.003; -0.017; -0.903;  0.430
 2.507;  2.978; -0.805; -0.987;  0.593;  0.163; -0.004; -0.019; -0.921;  0.388
 2.690;  2.908; -0.900; -0.973;  0.437;  0.231; -0.005; -0.026; -0.942;  0.336
 2.911;  2.847; -0.973; -0.957;  0.229;  0.290; -0.002; -0.032; -0.966;  0.260
 3.171;  2.800; -1.000; -0.942; -0.029;  0.335;  0.005; -0.037; -0.988;  0.156
 3.248;  2.764; -0.994; -0.930; -0.106;  0.368;  0.007; -0.040; -0.991;  0.132
 3.216;  2.736; -0.997; -0.919; -0.074;  0.395;  0.004; -0.043; -0.986;  0.165
 3.182;  2.712; -0.999; -0.909; -0.041;  0.416;  0.002; -0.046; -0.981;  0.193
 3.162;  2.665; -1.000; -0.889; -0.020;  0.458; -0.001; -0.050; -0.974;  0.226
 3.139;  2.576; -1.000; -0.844;  0.003;  0.536; -0.007; -0.059; -0.960;  0.280
 3.146;  2.504; -1.000; -0.803; -0.005;  0.595; -0.011; -0.066; -0.950;  0.311
 3.157;  2.476; -1.000; -0.787; -0.015;  0.617; -0.012; -0.068; -0.948;  0.319
 3.152;  2.503; -1.000; -0.803; -0.010;  0.596; -0.011; -0.066; -0.951;  0.309
 3.114;  2.553; -1.000; -0.832;  0.028;  0.555; -0.010; -0.061; -0.953;  0.304
 3.065;  2.596; -0.997; -0.855;  0.077;  0.519; -0.010; -0.056; -0.952;  0.306
 3.013;  2.635; -0.992; -0.874;  0.128;  0.485; -0.011; -0.052; -0.950;  0.312
 2.903;  2.693; -0.972; -0.901;  0.237;  0.433; -0.012; -0.046; -0.942;  0.337
 2.784;  2.774; -0.937; -0.933;  0.350;  0.359; -0.011; -0.038; -0.935;  0.354
 2.698;  2.873; -0.903; -0.964;  0.430;  0.265; -0.007; -0.029; -0.937;  0.349
 2.654;  2.981; -0.883; -0.987;  0.469;  0.160; -0.001; -0.020; -0.948;  0.319
 2.652;  3.024; -0.883; -0.993;  0.470;  0.117;  0.002; -0.016; -0.955;  0.298
 2.662;  3.020; -0.887; -0.993;  0.461;  0.121;  0.002; -0.016; -0.955;  0.296
 2.664;  3.012; -0.888; -0.992;  0.459;  0.129;  0.002; -0.017; -0.954;  0.299
 2.672;  3.006; -0.892; -0.991;  0.452;  0.135;  0.001; -0.017; -0.955;  0.298
 2.679;  2.979; -0.895; -0.987;  0.446;  0.162; -0.000; -0.020; -0.952;  0.308
 2.652;  2.944; -0.882; -0.980;  0.471;  0.197; -0.003; -0.023; -0.941;  0.337
 2.588;  2.907; -0.851; -0.973;  0.526;  0.232; -0.007; -0.025; -0.923;  0.384
 2.502;  2.836; -0.802; -0.954;  0.597;  0.301; -0.016; -0.029; -0.890;  0.456
 2.437;  2.757; -0.762; -0.927;  0.648;  0.376; -0.025; -0.033; -0.855;  0.518
 2.406;  2.667; -0.741; -0.889;  0.671;  0.457; -0.035; -0.036; -0.822;  0.569
 2.364;  2.539; -0.713; -0.824;  0.701;  0.567; -0.050; -0.038; -0.771;  0.637
 2.324;  2.425; -0.684; -0.754;  0.730;  0.657; -0.064; -0.037; -0.720;  0.694
 2.342;  2.315; -0.697; -0.678;  0.717;  0.735; -0.076; -0.038; -0.687;  0.726
 2.414;  2.197; -0.747; -0.586;  0.665;  0.810; -0.086; -0.043; -0.670;  0.742
 2.488;  2.113; -0.794; -0.516;  0.608;  0.857; -0.092; -0.049; -0.667;  0.745
 2.574;  2.053; -0.843; -0.463;  0.538;  0.886; -0.094; -0.056; -0.676;  0.737
 2.653;  2.022; -0.883; -0.436;  0.470;  0.900; -0.092; -0.063; -0.694;  0.720
 2.693;  2.020; -0.901; -0.434;  0.434;  0.901; -0.090; -0.067; -0.707;  0.707
 2.744;  2.030; -0.922; -0.443;  0.387;  0.896; -0.085; -0.071; -0.729;  0.685
 2.781;  2.043; -0.936; -0.455;  0.353;  0.890; -0.081; -0.074; -0.745;  0.667
 2.760;  2.051; -0.928; -0.462;  0.373;  0.887; -0.082; -0.072; -0.741;  0.671
 2.718;  2.047; -0.912; -0.459;  0.411;  0.889; -0.085; -0.069; -0.726;  0.688
 2.667;  2.004; -0.890; -0.420;  0.457;  0.908; -0.093; -0.064; -0.692;  0.721
 2.610;  1.922; -0.862; -0.344;  0.507;  0.939; -0.106; -0.058; -0.640;  0.768
 2.566;  1.798; -0.839; -0.225;  0.544;  0.974; -0.121; -0.049; -0.574;  0.819
 2.563;  1.648; -0.837; -0.078;  0.547;  0.997; -0.137; -0.042; -0.510;  0.860
 2.589;  1.510; -0.851;  0.060;  0.525;  0.998; -0.148; -0.038; -0.461;  0.887
 2.603;  1.369; -0.858;  0.200;  0.513;  0.980; -0.160; -0.030; -0.403;  0.915
 2.639;  1.230; -0.876;  0.334;  0.482;  0.942; -0.170; -0.025; -0.355;  0.935
 2.685;  1.140; -0.898;  0.418;  0.441;  0.909; -0.175; -0.025; -0.335;  0.942
 2.698;  1.117; -0.903;  0.438;  0.429;  0.899; -0.176; -0.026; -0.331;  0.944
 2.678;  1.092; -0.895;  0.461;  0.447;  0.887; -0.178; -0.020; -0.309;  0.951
 2.607;  1.062; -0.860;  0.487;  0.510;  0.874; -0.181; -0.004; -0.261;  0.965
 2.521;  1.021; -0.813;  0.522;  0.582;  0.853; -0.183;  0.015; -0.199;  0.980
 2.440;  0.938; -0.764;  0.592;  0.645;  0.806; -0.183;  0.039; -0.118;  0.993
 2.358;  0.883; -0.709;  0.634;  0.706;  0.773; -0.180;  0.060; -0.050;  0.999
 2.318;  0.887; -0.680;  0.632;  0.734;  0.775; -0.178;  0.066; -0.032;  0.999
 2.315;  0.898; -0.677;  0.623;  0.736;  0.782; -0.177;  0.066; -0.036;  0.999
 2.291;  0.879; -0.659;  0.638;  0.752;  0.770; -0.176;  0.072; -0.014;  1.000
 2.246;  0.841; -0.625;  0.666;  0.781;  0.746; -0.172;  0.084;  0.027;  1.000
 2.232;  0.791; -0.614;  0.703;  0.790;  0.711; -0.171;  0.092;  0.059;  0.998
 2.267;  0.757; -0.641;  0.727;  0.767;  0.686; -0.173;  0.090;  0.059;  0.998
 2.357;  0.745; -0.708;  0.735;  0.706;  0.678; -0.181;  0.075;  0.020;  1.000
 2.437;  0.694; -0.762;  0.768;  0.647;  0.640; -0.186;  0.066;  0.005;  1.000
 2.509;  0.632; -0.807;  0.807;  0.591;  0.591; -0.191;  0.059;  0.000;  1.000
 2.580;  0.560; -0.846;  0.847;  0.533;  0.532; -0.195;  0.053;  0.001;  1.000
 2.592;  0.449; -0.853;  0.901;  0.522;  0.434; -0.195;  0.063;  0.050;  0.999
 2.580;  0.296; -0.847;  0.956;  0.532;  0.292; -0.191;  0.082;  0.132;  0.991
 2.581;  0.097; -0.847;  0.995;  0.532;  0.097; -0.183;  0.102;  0.229;  0.973
 2.572; -0.104; -0.842;  0.995;  0.540; -0.104; -0.170;  0.123;  0.331;  0.944
 2.578; -0.327; -0.845;  0.947;  0.534; -0.321; -0.154;  0.139;  0.431;  0.903
 2.642; -0.543; -0.878;  0.856;  0.479; -0.517; -0.143;  0.143;  0.498;  0.867
 2.723; -0.760; -0.914;  0.725;  0.406; -0.689; -0.133;  0.142;  0.556;  0.831
 2.779; -1.027; -0.935;  0.518;  0.355; -0.856; -0.113;  0.144;  0.640;  0.768
 2.801; -1.286; -0.942;  0.281;  0.334; -0.960; -0.088;  0.143;  0.727;  0.687
 2.773; -1.486; -0.933;  0.084;  0.360; -0.996; -0.062;  0.142;  0.800;  0.600
 2.681; -1.666; -0.896; -0.095;  0.444; -0.995; -0.032;  0.138;  0.874;  0.486
 2.598; -1.876; -0.856; -0.301;  0.517; -0.954; -0.003;  0.124;  0.936;  0.353
 2.548; -2.103; -0.829; -0.508;  0.559; -0.861;  0.016;  0.103;  0.975;  0.220
 2.516; -2.288; -0.811; -0.657;  0.586; -0.754;  0.026;  0.083;  0.993;  0.114
 2.519; -2.433; -0.813; -0.759;  0.583; -0.651;  0.028;  0.068;  0.999;  0.043
 2.514; -2.560; -0.809; -0.836;  0.587; -0.549;  0.029;  0.054;  1.000; -0.023
 2.496; -2.668; -0.799; -0.890;  0.602; -0.456;  0.029;  0.041;  0.996; -0.086
 2.486; -2.777; -0.793; -0.934;  0.610; -0.357;  0.026;  0.029;  0.989; -0.145
 2.455; -2.909; -0.774; -0.973;  0.634; -0.230;  0.022;  0.015;  0.974; -0.225
 2.377; -3.062; -0.722; -0.997;  0.692; -0.079;  0.015;  0.002;  0.947; -0.322
 2.236; -3.072; -0.617; -0.998;  0.787; -0.070;  0.012; -0.003;  0.913; -0.407
 2.073; -3.026; -0.482; -0.993;  0.876; -0.115;  0.016; -0.002;  0.889; -0.459
 1.937; -2.927; -0.358; -0.977;  0.934; -0.212;  0.025;  0.001;  0.880; -0.475
 1.794; -2.837; -0.222; -0.954;  0.975; -0.300;  0.033;  0.003;  0.867; -0.498
 1.639; -2.792; -0.069; -0.940;  0.998; -0.342;  0.038; -0.001;  0.838; -0.545
 1.473; -2.789;  0.098; -0.938;  0.995; -0.346;  0.038; -0.007;  0.791; -0.611
 1.307; -2.843;  0.260; -0.956;  0.965; -0.295;  0.030; -0.013;  0.720; -0.694
 1.193; -2.885;  0.369; -0.967;  0.930; -0.254;  0.024; -0.016;  0.663; -0.748
 1.113; -2.898;  0.442; -0.971;  0.897; -0.241;  0.021; -0.018;  0.627; -0.779
 1.071; -2.941;  0.479; -0.980;  0.878; -0.199;  0.015; -0.017;  0.594; -0.805
 1.091; -3.009;  0.462; -0.991;  0.887; -0.132;  0.009; -0.015;  0.574; -0.819
 1.142; -3.028;  0.415; -0.994;  0.910; -0.113;  0.007; -0.014;  0.587; -0.810
 1.229; -3.020;  0.336; -0.993;  0.942; -0.122;  0.009; -0.013;  0.625; -0.781
 1.309; -3.012;  0.259; -0.992;  0.966; -0.129;  0.011; -0.012;  0.659; -0.752
 1.347; -3.007;  0.222; -0.991;  0.975; -0.134;  0.012; -0.012;  0.675; -0.738
 1.341; -3.004;  0.228; -0.991;  0.974; -0.137;  0.013; -0.012;  0.674; -0.739
 1.308; -2.995;  0.260; -0.989;  0.966; -0.146;  0.013; -0.013;  0.665; -0.747
 1.278; -2.944;  0.289; -0.981;  0.957; -0.196;  0.018; -0.014;  0.673; -0.740
 1.237; -2.874;  0.327; -0.964;  0.945; -0.265;  0.026; -0.015;  0.684; -0.730
 1.183; -2.840;  0.379; -0.955;  0.926; -0.297;  0.028; -0.017;  0.676; -0.737
 1.104; -2.824;  0.450; -0.950;  0.893; -0.313;  0.029; -0.019;  0.653; -0.758
 1.001; -2.807;  0.539; -0.945;  0.842; -0.328;  0.028; -0.023;  0.619; -0.785
 0.892; -2.815;  0.628; -0.947;  0.778; -0.321;  0.025; -0.025;  0.572; -0.820
 0.774; -2.832;  0.715; -0.952;  0.699; -0.305;  0.020; -0.027;  0.516; -0.857
 0.619; -2.819;  0.814; -0.948;  0.580; -0.317;  0.017; -0.031;  0.454; -0.891
