j0; j1; cos(j0); cos(j1); sin(j0); sin(j1); ee_x; ee_y; ee_qw; ee_qz
 0.466; -2.787;  0.893; -0.938;  0.450; -0.347;  0.014; -0.036;  0.399; -0.917
 0.313; -2.789;  0.951; -0.938;  0.308; -0.346;  0.009; -0.037;  0.327; -0.945
 0.103; -2.859;  0.995; -0.960;  0.103; -0.279; -0.002; -0.031;  0.192; -0.981
-0.143; -2.933;  0.990; -0.978; -0.143; -0.207; -0.011; -0.021;  0.033; -0.999
-0.386; -2.957;  0.927; -0.983; -0.376; -0.184; -0.015; -0.016; -0.100; -0.995
-0.646; -2.965;  0.799; -0.984; -0.602; -0.176; -0.018; -0.010; -0.232; -0.973
-0.934; -2.996;  0.594; -0.989; -0.804; -0.145; -0.018; -0.002; -0.384; -0.923
-1.216; -3.023;  0.348; -0.993; -0.938; -0.119; -0.015;  0.004; -0.522; -0.853
-1.460; -3.018;  0.111; -0.992; -0.994; -0.124; -0.015;  0.008; -0.620; -0.785
-1.707; -3.010; -0.136; -0.991; -0.991; -0.131; -0.013;  0.011; -0.709; -0.705
-2.007; -3.006; -0.422; -0.991; -0.906; -0.136; -0.010;  0.014; -0.805; -0.594
-2.293; -3.004; -0.661; -0.991; -0.751; -0.137; -0.005;  0.017; -0.881; -0.474
-2.542; -3.003; -0.826; -0.990; -0.564; -0.139; -0.001;  0.018; -0.933; -0.361
-2.821; -3.002; -0.949; -0.990; -0.316; -0.139;  0.004;  0.017; -0.974; -0.228
-3.157; -2.989; -1.000; -0.988;  0.016; -0.152;  0.009;  0.017; -0.998; -0.069
-3.260; -2.949; -0.993; -0.981;  0.118; -0.192;  0.011;  0.020; -0.999; -0.034
-3.226; -2.912; -0.996; -0.974;  0.084; -0.227;  0.009;  0.024; -0.997; -0.072
-3.150; -2.896; -1.000; -0.970;  0.009; -0.244;  0.007;  0.027; -0.993; -0.118
-3.016; -2.904; -0.992; -0.972; -0.125; -0.235;  0.004;  0.027; -0.984; -0.180
-2.842; -2.921; -0.955; -0.976; -0.295; -0.219; -0.000;  0.025; -0.966; -0.257
-2.673; -2.918; -0.892; -0.975; -0.452; -0.222; -0.005;  0.025; -0.941; -0.340
-2.499; -2.942; -0.801; -0.980; -0.599; -0.198; -0.007;  0.022; -0.913; -0.409
-2.345; -3.016; -0.699; -0.992; -0.715; -0.125; -0.005;  0.017; -0.891; -0.453
-2.194; -3.032; -0.584; -0.994; -0.812; -0.110; -0.004;  0.015; -0.864; -0.504
-2.003; -3.021; -0.419; -0.993; -0.908; -0.120; -0.008;  0.014; -0.808; -0.589
-1.815; -2.991; -0.242; -0.989; -0.970; -0.150; -0.014;  0.012; -0.739; -0.673
-1.665; -2.937; -0.094; -0.979; -0.996; -0.203; -0.021;  0.010; -0.667; -0.745
-1.515; -2.896;  0.056; -0.970; -0.998; -0.243; -0.027;  0.005; -0.593; -0.805
-1.319; -2.894;  0.249; -0.970; -0.969; -0.245; -0.028; -0.000; -0.511; -0.860
-1.088; -2.904;  0.464; -0.972; -0.886; -0.235; -0.026; -0.006; -0.413; -0.911
-0.814; -2.889;  0.687; -0.968; -0.727; -0.250; -0.024; -0.014; -0.277; -0.961
-0.498; -2.890;  0.878; -0.969; -0.478; -0.249; -0.019; -0.021; -0.123; -0.992
-0.150; -2.892;  0.989; -0.969; -0.150; -0.247; -0.011; -0.026;  0.050; -0.999
 0.218; -2.843;  0.976; -0.956;  0.217; -0.294;  0.002; -0.033;  0.256; -0.967
 0.631; -2.739;  0.808; -0.920;  0.590; -0.392;  0.024; -0.036;  0.494; -0.870
 1.049; -2.566;  0.498; -0.839;  0.867; -0.544;  0.056; -0.023;  0.726; -0.688
 1.419; -2.342;  0.151; -0.697;  0.989; -0.717;  0.081;  0.011;  0.895; -0.445
 1.771; -2.092; -0.199; -0.498;  0.980; -0.867;  0.084;  0.063;  0.987; -0.159
 2.125; -1.867; -0.527; -0.292;  0.850; -0.956;  0.054;  0.113;  0.992;  0.129
 2.479; -1.698; -0.788; -0.127;  0.615; -0.992; -0.001;  0.139;  0.925;  0.381
 2.814; -1.551; -0.947;  0.020;  0.322; -1.000; -0.061;  0.137;  0.807;  0.591
 3.148; -1.406; -1.000;  0.164; -0.006; -0.987; -0.119;  0.108;  0.644;  0.765
 3.251; -1.272; -0.994;  0.295; -0.109; -0.956; -0.144;  0.089;  0.546;  0.838
 3.221; -1.138; -0.997;  0.419; -0.079; -0.908; -0.154;  0.088;  0.504;  0.863
 3.186; -0.960; -0.999;  0.574; -0.044; -0.819; -0.167;  0.083;  0.442;  0.897
 3.164; -0.773; -1.000;  0.716; -0.022; -0.698; -0.180;  0.073;  0.367;  0.930
 3.120; -0.595; -1.000;  0.828;  0.022; -0.561; -0.190;  0.066;  0.304;  0.953
 3.033; -0.428; -0.994;  0.910;  0.108; -0.415; -0.194;  0.067;  0.265;  0.964
 2.956; -0.306; -0.983;  0.953;  0.184; -0.302; -0.195;  0.070;  0.243;  0.970
 2.902; -0.216; -0.972;  0.977;  0.237; -0.215; -0.196;  0.072;  0.226;  0.974
 2.826; -0.172; -0.951;  0.985;  0.310; -0.171; -0.192;  0.082;  0.241;  0.971
 2.740; -0.167; -0.920;  0.986;  0.391; -0.166; -0.185;  0.098;  0.280;  0.960
 2.647; -0.175; -0.880;  0.985;  0.474; -0.174; -0.174;  0.116;  0.328;  0.945
 2.569; -0.172; -0.840;  0.985;  0.542; -0.171; -0.165;  0.129;  0.364;  0.931
 2.524; -0.117; -0.815;  0.993;  0.579; -0.117; -0.163;  0.132;  0.359;  0.933
 2.456; -0.040; -0.774;  0.999;  0.633; -0.040; -0.160;  0.136;  0.355;  0.935
 2.354;  0.054; -0.705;  0.999;  0.709;  0.054; -0.152;  0.145;  0.359;  0.933
 2.233;  0.201; -0.615;  0.980;  0.789;  0.200; -0.145;  0.150;  0.347;  0.938
 2.081;  0.353; -0.488;  0.938;  0.873;  0.346; -0.132;  0.159;  0.346;  0.938
 1.886;  0.482; -0.310;  0.886;  0.951;  0.463; -0.110;  0.172;  0.377;  0.926
 1.668;  0.577; -0.097;  0.838;  0.995;  0.545; -0.078;  0.186;  0.434;  0.901
 1.469;  0.613;  0.102;  0.818;  0.995;  0.576; -0.044;  0.195;  0.505;  0.863
 1.292;  0.661;  0.275;  0.790;  0.961;  0.614; -0.014;  0.198;  0.560;  0.828
 1.118;  0.719;  0.437;  0.753;  0.899;  0.658;  0.015;  0.196;  0.607;  0.795
 0.944;  0.753;  0.587;  0.730;  0.810;  0.684;  0.045;  0.190;  0.661;  0.750
 0.773;  0.787;  0.716;  0.706;  0.698;  0.708;  0.073;  0.180;  0.711;  0.703
 0.602;  0.792;  0.824;  0.703;  0.567;  0.712;  0.102;  0.165;  0.767;  0.642
 0.436;  0.740;  0.907;  0.739;  0.422;  0.674;  0.133;  0.144;  0.832;  0.555
 0.262;  0.659;  0.966;  0.791;  0.259;  0.612;  0.163;  0.113;  0.896;  0.444
 0.090;  0.578;  0.996;  0.838;  0.090;  0.546;  0.186;  0.077;  0.945;  0.328
-0.027;  0.532;  1.000;  0.862; -0.027;  0.508;  0.196;  0.051;  0.968;  0.250
-0.069;  0.516;  0.998;  0.870; -0.069;  0.493;  0.199;  0.041;  0.975;  0.222
-0.056;  0.520;  0.998;  0.868; -0.056;  0.497;  0.198;  0.044;  0.973;  0.230
-0.007;  0.563;  1.000;  0.846; -0.007;  0.534;  0.193;  0.057;  0.962;  0.275
 0.043;  0.594;  0.999;  0.829;  0.043;  0.559;  0.188;  0.070;  0.950;  0.313
 0.096;  0.628;  0.995;  0.809;  0.096;  0.587;  0.182;  0.082;  0.935;  0.354
 0.143;  0.668;  0.990;  0.785;  0.142;  0.619;  0.175;  0.094;  0.919;  0.394
 0.182;  0.731;  0.984;  0.744;  0.181;  0.668;  0.166;  0.105;  0.898;  0.441
 0.232;  0.833;  0.973;  0.673;  0.230;  0.740;  0.151;  0.119;  0.861;  0.508
 0.274;  0.907;  0.963;  0.616;  0.270;  0.788;  0.138;  0.129;  0.831;  0.557
 0.350;  0.964;  0.939;  0.570;  0.343;  0.821;  0.122;  0.141;  0.792;  0.611
 0.478;  1.027;  0.888;  0.517;  0.460;  0.856;  0.096;  0.156;  0.730;  0.683
 0.628;  1.072;  0.809;  0.478;  0.587;  0.878;  0.067;  0.168;  0.660;  0.751
 0.807;  1.085;  0.691;  0.467;  0.722;  0.884;  0.034;  0.177;  0.585;  0.811
 0.994;  1.104;  0.546;  0.450;  0.838;  0.893; -0.001;  0.179;  0.499;  0.867
 1.166;  1.107;  0.394;  0.447;  0.919;  0.894; -0.032;  0.176;  0.421;  0.907
 1.315;  1.103;  0.253;  0.451;  0.967;  0.893; -0.057;  0.170;  0.354;  0.935
 1.428;  1.150;  0.142;  0.408;  0.990;  0.913; -0.079;  0.158;  0.278;  0.961
 1.568;  1.183;  0.003;  0.378;  1.000;  0.926; -0.101;  0.142;  0.194;  0.981
 1.754;  1.154; -0.182;  0.405;  0.983;  0.914; -0.125;  0.124;  0.117;  0.993
 1.930;  1.094; -0.352;  0.459;  0.936;  0.889; -0.144;  0.106;  0.059;  0.998
 2.109;  1.058; -0.513;  0.490;  0.859;  0.871; -0.161;  0.083; -0.013;  1.000
 2.299;  1.071; -0.666;  0.480;  0.746;  0.878; -0.174;  0.050; -0.114;  0.993
 2.441;  1.108; -0.765;  0.447;  0.644;  0.895; -0.177;  0.021; -0.202;  0.979
 2.570;  1.148; -0.841;  0.410;  0.541;  0.912; -0.176; -0.006; -0.284;  0.959
 2.719;  1.207; -0.912;  0.356;  0.410;  0.935; -0.169; -0.037; -0.382;  0.924
 2.900;  1.273; -0.971;  0.294;  0.239;  0.956; -0.154; -0.070; -0.493;  0.870
 3.123;  1.350; -1.000;  0.219;  0.019;  0.976; -0.126; -0.105; -0.618;  0.787
 3.226;  1.473; -0.996;  0.098; -0.085;  0.995; -0.100; -0.119; -0.704;  0.710
 3.205;  1.614; -0.998; -0.043; -0.064;  0.999; -0.088; -0.116; -0.744;  0.668
 3.177;  1.713; -0.999; -0.142; -0.035;  0.990; -0.080; -0.112; -0.767;  0.641
 3.159;  1.795; -1.000; -0.222; -0.017;  0.975; -0.074; -0.109; -0.787;  0.617
 3.150;  1.876; -1.000; -0.300; -0.008;  0.954; -0.066; -0.105; -0.809;  0.588
 3.146;  1.932; -1.000; -0.353; -0.004;  0.936; -0.061; -0.103; -0.824;  0.567
 3.144;  1.979; -1.000; -0.397; -0.002;  0.918; -0.056; -0.101; -0.836;  0.548
 3.143;  1.996; -1.000; -0.412; -0.001;  0.911; -0.055; -0.100; -0.841;  0.542
 3.111;  2.016; -1.000; -0.430;  0.030;  0.903; -0.056; -0.098; -0.837;  0.547
 3.030;  2.035; -0.994; -0.448;  0.111;  0.894; -0.061; -0.092; -0.820;  0.572
 2.954;  2.056; -0.982; -0.466;  0.187;  0.885; -0.066; -0.086; -0.804;  0.595
 2.925;  2.115; -0.977; -0.517;  0.215;  0.856; -0.062; -0.083; -0.813;  0.583
 2.957;  2.195; -0.983; -0.585;  0.183;  0.811; -0.051; -0.081; -0.844;  0.536
 3.043;  2.272; -0.995; -0.645;  0.098;  0.764; -0.037; -0.081; -0.885;  0.465
 3.162;  2.300; -1.000; -0.666; -0.020;  0.746; -0.025; -0.083; -0.917;  0.399
 3.194;  2.263; -0.999; -0.638; -0.053;  0.770; -0.025; -0.086; -0.916;  0.400
 3.177;  2.167; -0.999; -0.562; -0.035;  0.827; -0.035; -0.092; -0.892;  0.452
 3.129;  2.017; -1.000; -0.432;  0.013;  0.902; -0.054; -0.099; -0.843;  0.538
 3.067;  1.837; -0.997; -0.263;  0.075;  0.965; -0.079; -0.101; -0.772;  0.636
 3.000;  1.681; -0.990; -0.110;  0.141;  0.994; -0.102; -0.096; -0.696;  0.718
 2.954;  1.528; -0.982;  0.043;  0.186;  0.999; -0.123; -0.088; -0.621;  0.784
 2.918;  1.337; -0.975;  0.232;  0.221;  0.973; -0.146; -0.077; -0.529;  0.849
 2.886;  1.112; -0.967;  0.443;  0.253;  0.897; -0.169; -0.058; -0.415;  0.910
 2.914;  0.896; -0.974;  0.625;  0.226;  0.781; -0.184; -0.046; -0.328;  0.945
 2.995;  0.724; -0.989;  0.749;  0.147;  0.662; -0.191; -0.045; -0.284;  0.959
 3.067;  0.581; -0.997;  0.836;  0.074;  0.549; -0.196; -0.046; -0.251;  0.968
 3.138;  0.451; -1.000;  0.900;  0.003;  0.436; -0.199; -0.047; -0.222;  0.975
 3.183;  0.348; -0.999;  0.940; -0.042;  0.341; -0.202; -0.046; -0.195;  0.981
 3.150;  0.238; -1.000;  0.972; -0.009;  0.236; -0.207; -0.028; -0.123;  0.992
 3.077;  0.062; -0.998;  0.998;  0.064;  0.062; -0.210;  0.007;  0.001;  1.000
 2.992; -0.112; -0.989;  0.994;  0.149; -0.112; -0.205;  0.043;  0.131;  0.991
 2.864; -0.273; -0.962;  0.963;  0.274; -0.269; -0.190;  0.085;  0.271;  0.962
 2.696; -0.423; -0.902;  0.912;  0.431; -0.411; -0.161;  0.127;  0.421;  0.907
 2.514; -0.526; -0.810;  0.865;  0.587; -0.502; -0.126;  0.159;  0.545;  0.838
 2.330; -0.633; -0.688;  0.806;  0.725; -0.592; -0.083;  0.182;  0.661;  0.750
 2.158; -0.734; -0.554;  0.743;  0.832; -0.670; -0.039;  0.192;  0.757;  0.653
 2.003; -0.840; -0.419;  0.668;  0.908; -0.744;  0.002;  0.192;  0.836;  0.549
 1.844; -0.943; -0.270;  0.587;  0.963; -0.809;  0.041;  0.183;  0.900;  0.435
 1.658; -1.026; -0.087;  0.518;  0.996; -0.855;  0.080;  0.165;  0.951;  0.310
 1.448; -1.150;  0.123;  0.408;  0.992; -0.913;  0.117;  0.131;  0.989;  0.148
 1.266; -1.262;  0.300;  0.304;  0.954; -0.953;  0.140;  0.096;  1.000;  0.002
 1.151; -1.338;  0.408;  0.231;  0.913; -0.973;  0.149;  0.071;  0.996; -0.093
 1.080; -1.393;  0.471;  0.177;  0.882; -0.984;  0.152;  0.054;  0.988; -0.156
 1.061; -1.449;  0.488;  0.122;  0.873; -0.993;  0.151;  0.046;  0.981; -0.193
 1.076; -1.490;  0.475;  0.081;  0.880; -0.997;  0.148;  0.044;  0.979; -0.206
 1.069; -1.506;  0.481;  0.064;  0.877; -0.998;  0.148;  0.041;  0.976; -0.217
 1.040; -1.557;  0.507;  0.013;  0.862; -1.000;  0.146;  0.032;  0.967; -0.256
 0.974; -1.657;  0.562; -0.086;  0.827; -0.996;  0.142;  0.013;  0.942; -0.335
 0.889; -1.752;  0.630; -0.180;  0.776; -0.984;  0.135; -0.006;  0.908; -0.418
 0.808; -1.836;  0.691; -0.263;  0.723; -0.965;  0.126; -0.022;  0.871; -0.492
 0.686; -1.955;  0.774; -0.375;  0.633; -0.927;  0.110; -0.042;  0.805; -0.593
 0.563; -2.057;  0.846; -0.467;  0.534; -0.884;  0.093; -0.056;  0.734; -0.679
 0.475; -2.116;  0.889; -0.518;  0.457; -0.855;  0.081; -0.064;  0.682; -0.731
 0.362; -2.198;  0.935; -0.587;  0.354; -0.810;  0.065; -0.071;  0.607; -0.794
 0.233; -2.340;  0.973; -0.696;  0.230; -0.718;  0.041; -0.071;  0.494; -0.869
 0.125; -2.545;  0.992; -0.827;  0.125; -0.562;  0.017; -0.060;  0.353; -0.936
-0.008; -2.797;  1.000; -0.941; -0.008; -0.338; -0.004; -0.037;  0.168; -0.986
-0.174; -3.047;  0.985; -0.996; -0.173; -0.095; -0.011; -0.006; -0.051; -0.999
-0.375; -3.102;  0.931; -0.999; -0.366; -0.040; -0.011;  0.000; -0.169; -0.986
-0.617; -3.069;  0.816; -0.997; -0.579; -0.073; -0.012; -0.001; -0.269; -0.963
-0.856; -3.035;  0.656; -0.994; -0.755; -0.106; -0.015; -0.001; -0.366; -0.931
-1.110; -3.016;  0.445; -0.992; -0.896; -0.125; -0.016;  0.002; -0.473; -0.881
-1.427; -3.009;  0.143; -0.991; -0.990; -0.133; -0.016;  0.007; -0.603; -0.798
-1.776; -2.994; -0.203; -0.989; -0.979; -0.147; -0.014;  0.012; -0.727; -0.687
-2.118; -2.974; -0.520; -0.986; -0.854; -0.167; -0.011;  0.017; -0.828; -0.561
-2.474; -2.988; -0.785; -0.988; -0.619; -0.153; -0.004;  0.019; -0.917; -0.399
-2.808; -3.016; -0.945; -0.992; -0.327; -0.125;  0.004;  0.016; -0.974; -0.227
-3.132; -3.014; -1.000; -0.992; -0.009; -0.127;  0.009;  0.014; -0.998; -0.068
-3.290; -2.967; -0.989; -0.985;  0.148; -0.173;  0.011;  0.018; -1.000; -0.008
-3.252; -2.882; -0.994; -0.966;  0.110; -0.257;  0.009;  0.027; -0.997; -0.074
-3.179; -2.799; -0.999; -0.942;  0.038; -0.336;  0.005;  0.037; -0.988; -0.152
-3.103; -2.710; -0.999; -0.908; -0.039; -0.418; -0.002;  0.046; -0.972; -0.233
-3.074; -2.632; -0.998; -0.873; -0.068; -0.487; -0.008;  0.053; -0.959; -0.284
-3.065; -2.605; -0.997; -0.859; -0.076; -0.511; -0.010;  0.056; -0.953; -0.302
-3.051; -2.638; -0.996; -0.876; -0.091; -0.482; -0.008;  0.052; -0.956; -0.293
-3.015; -2.679; -0.992; -0.895; -0.126; -0.447; -0.008;  0.049; -0.957; -0.290
-2.968; -2.718; -0.985; -0.912; -0.173; -0.411; -0.008;  0.045; -0.956; -0.294
-2.931; -2.793; -0.978; -0.940; -0.209; -0.342; -0.005;  0.037; -0.961; -0.276
-2.907; -2.905; -0.973; -0.972; -0.233; -0.234;  0.001;  0.027; -0.972; -0.233
-2.875; -3.038; -0.965; -0.995; -0.263; -0.103;  0.005;  0.016; -0.981; -0.196
-2.813; -3.051; -0.947; -0.996; -0.322; -0.091;  0.006;  0.012; -0.978; -0.207
-2.773; -3.032; -0.933; -0.994; -0.360; -0.109;  0.004;  0.015; -0.972; -0.236
-2.725; -3.017; -0.914; -0.992; -0.405; -0.124;  0.003;  0.016; -0.964; -0.267
-2.677; -2.966; -0.894; -0.985; -0.448; -0.174; -0.001;  0.021; -0.949; -0.315
-2.685; -2.881; -0.898; -0.966; -0.441; -0.258; -0.007;  0.028; -0.936; -0.351
-2.722; -2.777; -0.913; -0.934; -0.408; -0.357; -0.013;  0.037; -0.924; -0.382
-2.787; -2.636; -0.938; -0.875; -0.347; -0.484; -0.022;  0.049; -0.909; -0.417
-2.878; -2.447; -0.965; -0.768; -0.261; -0.640; -0.033;  0.064; -0.887; -0.461
-3.003; -2.246; -0.990; -0.625; -0.138; -0.780; -0.043;  0.081; -0.869; -0.494
-3.173; -2.071; -1.000; -0.479;  0.031; -0.878; -0.042;  0.099; -0.873; -0.488
-3.214; -1.870; -0.997; -0.295;  0.072; -0.956; -0.059;  0.110; -0.826; -0.563
-3.190; -1.637; -0.999; -0.066;  0.049; -0.998; -0.087;  0.114; -0.747; -0.665
-3.168; -1.370; -1.000;  0.200;  0.027; -0.980; -0.119;  0.111; -0.643; -0.766
-3.155; -1.044; -1.000;  0.503;  0.013; -0.864; -0.154;  0.097; -0.504; -0.864
-3.149; -0.713; -1.000;  0.756;  0.007; -0.654; -0.183;  0.073; -0.352; -0.936
-3.127; -0.403; -1.000;  0.920; -0.014; -0.392; -0.202;  0.040; -0.193; -0.981
-3.081; -0.067; -0.998;  0.998; -0.060; -0.067; -0.210; -0.005; -0.003; -1.000
-2.993;  0.265; -0.989;  0.965; -0.148;  0.262; -0.200; -0.059;  0.205; -0.979
-2.849;  0.529; -0.958;  0.863; -0.288;  0.505; -0.171; -0.109;  0.399; -0.917
-2.703;  0.743; -0.905;  0.736; -0.424;  0.677; -0.132; -0.144;  0.557; -0.831
-2.614;  0.973; -0.864;  0.563; -0.503;  0.827; -0.094; -0.160;  0.682; -0.732
-2.569;  1.247; -0.840;  0.318; -0.542;  0.948; -0.057; -0.161;  0.789; -0.614
-2.564;  1.548; -0.838;  0.023; -0.546;  1.000; -0.026; -0.148;  0.874; -0.487
-2.587;  1.837; -0.850; -0.263; -0.526;  0.965; -0.005; -0.128;  0.930; -0.366
-2.637;  2.063; -0.875; -0.472; -0.483;  0.881;  0.005; -0.108;  0.959; -0.283
-2.723;  2.221; -0.914; -0.605; -0.406;  0.796;  0.005; -0.094;  0.969; -0.248
-2.791;  2.330; -0.939; -0.688; -0.343;  0.726;  0.005; -0.083;  0.973; -0.229
-2.804;  2.414; -0.943; -0.747; -0.331;  0.665;  0.007; -0.075;  0.981; -0.194
-2.742;  2.499; -0.921; -0.800; -0.389;  0.600;  0.015; -0.065;  0.993; -0.121
-2.677;  2.624; -0.894; -0.869; -0.448;  0.495;  0.020; -0.051;  1.000; -0.027
-2.614;  2.775; -0.864; -0.933; -0.503;  0.359;  0.022; -0.033;  0.997;  0.080
-2.543;  2.923; -0.826; -0.976; -0.563;  0.217;  0.020; -0.016;  0.982;  0.189
-2.457;  3.033; -0.775; -0.994; -0.632;  0.109;  0.015; -0.004;  0.960;  0.279
-2.368;  3.039; -0.715; -0.995; -0.699;  0.103;  0.015; -0.001;  0.944;  0.330
-2.290;  2.997; -0.659; -0.990; -0.752;  0.144;  0.018; -0.004;  0.938;  0.346
-2.206;  2.896; -0.593; -0.970; -0.805;  0.244;  0.026; -0.011;  0.941;  0.338
-2.150;  2.801; -0.548; -0.942; -0.837;  0.334;  0.033; -0.017;  0.948;  0.319
-2.127;  2.767; -0.528; -0.931; -0.849;  0.366;  0.035; -0.019;  0.949;  0.314
-2.147;  2.726; -0.545; -0.915; -0.838;  0.404;  0.038; -0.024;  0.958;  0.285
-2.221;  2.691; -0.605; -0.900; -0.796;  0.436;  0.038; -0.030;  0.973;  0.233
-2.355;  2.673; -0.706; -0.892; -0.708;  0.452;  0.034; -0.036;  0.987;  0.158
-2.532;  2.667; -0.820; -0.889; -0.573;  0.457;  0.027; -0.042;  0.998;  0.067
-2.714;  2.707; -0.910; -0.907; -0.414;  0.421;  0.019; -0.042;  1.000; -0.004
-2.885;  2.775; -0.967; -0.934; -0.254;  0.358;  0.013; -0.037;  0.999; -0.055
-3.063;  2.824; -0.997; -0.950; -0.078;  0.313;  0.007; -0.034;  0.993; -0.120
-3.206;  2.806; -0.998; -0.944;  0.065;  0.329;  0.001; -0.036;  0.979; -0.202
-3.202;  2.757; -0.998; -0.927;  0.060;  0.375; -0.001; -0.041;  0.975; -0.220
-3.161;  2.679; -1.000; -0.895;  0.020;  0.446; -0.003; -0.049;  0.971; -0.239
-3.088;  2.542; -0.999; -0.826; -0.054;  0.564; -0.006; -0.062;  0.963; -0.269
-3.015;  2.378; -0.992; -0.723; -0.126;  0.691; -0.011; -0.078;  0.950; -0.313
-3.000;  2.202; -0.990; -0.590; -0.141;  0.807; -0.022; -0.093;  0.921; -0.388
-3.047;  2.043; -0.996; -0.455; -0.094;  0.891; -0.040; -0.102;  0.877; -0.481
-3.158;  1.943; -1.000; -0.363;  0.017;  0.932; -0.062; -0.101;  0.821; -0.571
-3.193;  1.863; -0.999; -0.288;  0.051;  0.958; -0.074; -0.102;  0.787; -0.617
-3.162;  1.738; -1.000; -0.167;  0.021;  0.986; -0.084; -0.107;  0.757; -0.653
-3.117;  1.581; -1.000; -0.011; -0.024;  1.000; -0.096; -0.112;  0.719; -0.695
-3.057;  1.439; -0.996;  0.131; -0.085;  0.991; -0.105; -0.118;  0.690; -0.723
-2.939;  1.325; -0.980;  0.243; -0.201;  0.970; -0.103; -0.130;  0.692; -0.722
-2.752;  1.210; -0.925;  0.353; -0.380;  0.936; -0.089; -0.148;  0.717; -0.697
-2.541;  1.094; -0.825;  0.459; -0.565;  0.889; -0.069; -0.166;  0.750; -0.662
-2.376;  0.999; -0.721;  0.541; -0.693;  0.841; -0.051; -0.177;  0.772; -0.636
-2.265;  0.943; -0.639;  0.587; -0.769;  0.809; -0.037; -0.183;  0.790; -0.614
-2.168;  0.900; -0.562;  0.622; -0.827;  0.783; -0.023; -0.188;  0.806; -0.592
-2.041;  0.794; -0.453;  0.701; -0.891;  0.713; -0.010; -0.193;  0.812; -0.584
-1.899;  0.642; -0.323;  0.801; -0.946;  0.599;  0.002; -0.199;  0.809; -0.588
-1.800;  0.470; -0.227;  0.892; -0.974;  0.453;  0.004; -0.204;  0.787; -0.617
-1.712;  0.320; -0.140;  0.949; -0.990;  0.314;  0.006; -0.207;  0.767; -0.641
-1.588;  0.236; -0.017;  0.972; -1.000;  0.234;  0.022; -0.207;  0.780; -0.626
-1.477;  0.224;  0.094;  0.975; -0.996;  0.222;  0.044; -0.204;  0.810; -0.586
-1.419;  0.235;  0.151;  0.972; -0.988;  0.233;  0.057; -0.201;  0.830; -0.558
-1.362;  0.237;  0.207;  0.972; -0.978;  0.234;  0.068; -0.197;  0.846; -0.534
-1.290;  0.270;  0.277;  0.964; -0.961;  0.266;  0.085; -0.190;  0.873; -0.488
